Date,Srad Wh/m2,year-DOY,Srad,Tmax,Tmin,Vapr,Tdew,RHmax,RHmin,Wndsp,Rain,ETref,MorP,,,,,,,
6/6/2024,6361.2,2024-158,22.90,23.70,11.10,,,98.70,50.60,0.50,0.00,,M,,,,,,,
6/7/2024,7508,2024-159,27.03,23.10,10.80,,,97.80,48.60,0.50,0.00,,M,,,,,,,
6/8/2024,5784.2,2024-160,20.82,24.40,10.10,,,96.60,54.60,0.50,0.00,,M,,,,,,,
6/9/2024,5688.6,2024-161,20.48,21.00,13.90,,,97.10,55.90,0.50,0.00,,M,,,,,,,
6/10/2024,7248.6,2024-162,26.09,21.20,11.60,,,79.50,42.60,0.50,0.00,,M,,,,,,,
6/11/2024,4936.6,2024-163,17.77,16.00,8.20,,,84.30,45.50,0.50,0.00,,M,,,,,,,
6/12/2024,5836.2,2024-164,21.01,17.70,6.00,,,95.90,41.30,0.50,0.00,,M,,,,,,,
6/13/2024,7334.3,2024-165,26.40,19.60,7.70,,,96.90,40.90,0.50,0.00,,M,,,,,,,
6/14/2024,3490.8,2024-166,0.00,19.70,10.10,,,90.50,60.90,0.50,0.00,,M,,,,,,,
6/15/2024,6070.6,2024-167,21.85,19.40,11.60,,,97.20,49.60,0.50,0.00,,M,,,,,,,
6/16/2024,6665.3,2024-168,24.00,22.40,10.90,,,88.30,43.60,0.50,0.00,,M,,,,,,,
6/17/2024,4019.5,2024-169,14.47,21.40,13.00,,,94.60,62.70,0.50,0.00,,M,,,,,,,
6/18/2024,7233.5,2024-170,26.04,29.50,11.80,,,97.90,37.90,0.50,0.00,,M,,,,,,,
6/19/2024,5914.7,2024-171,21.29,24.60,16.80,,,97.40,66.70,0.50,0.00,,M,,,,,,,
6/20/2024,4302.9,2024-172,15.49,26.00,16.30,,,92.10,68.60,0.50,0.00,,N,,,,,,,
6/21/2024,2818.5,2024-173,10.15,24.20,15.80,,,97.80,61.40,0.50,0.00,,O,,,,,,,
6/22/2024,4571.6,2024-174,16.46,21.10,11.90,,,94.70,62.50,0.50,0.00,,P,,,,,,,
6/23/2024,4561.4,2024-175,16.42,22.10,12.70,,,97.60,61.50,0.50,0.00,,Q,,,,,,,
6/24/2024,7322.1,2024-176,26.36,25.60,13.00,,,97.30,49.50,0.50,0.00,,R,,,,,,,
6/25/2024,8496.3,2024-177,30.59,27.40,13.50,,,91.80,45.30,0.50,0.00,,S,,,,,,,
6/26/2024,4696.6,2024-178,16.91,25.70,14.80,,,97.10,59.90,0.50,0.00,,T,,,,,,,
6/27/2024,6478.7,2024-179,23.32,28.40,17.70,,,98.40,55.60,0.50,0.00,,U,,,,,,,
6/28/2024,5942.6,2024-180,21.39,27.00,17.60,,,94.40,63.60,0.50,0.00,,V,,,,,,,
6/29/2024,6425.5,2024-181,23.13,31.60,17.10,,,97.10,53.40,0.50,0.00,,W,,,,,,,
6/30/2024,2707,2024-182,9.75,22.70,13.70,,,93.30,72.90,0.50,0.00,,X,,,,,,,
7/1/2024,3619.7,2024-183,13.03,20.40,12.40,,,96.90,68.40,0.50,0.00,,Y,,,,,,,
